,emotion_label,source,actors,emotion2,emotion3,emotion4,emotion5
0,fear_female,TESS,female,negative_female,fear_female,fear,negative
1,fear_female,TESS,female,negative_female,fear_female,fear,negative
2,fear_female,TESS,female,negative_female,fear_female,fear,negative
3,fear_female,TESS,female,negative_female,fear_female,fear,negative
4,fear_female,TESS,female,negative_female,fear_female,fear,negative
5,fear_female,TESS,female,negative_female,fear_female,fear,negative
6,fear_female,TESS,female,negative_female,fear_female,fear,negative
7,fear_female,TESS,female,negative_female,fear_female,fear,negative
8,fear_female,TESS,female,negative_female,fear_female,fear,negative
9,fear_female,TESS,female,negative_female,fear_female,fear,negative
10,fear_female,TESS,female,negative_female,fear_female,fear,negative
11,fear_female,TESS,female,negative_female,fear_female,fear,negative
12,fear_female,TESS,female,negative_female,fear_female,fear,negative
13,fear_female,TESS,female,negative_female,fear_female,fear,negative
14,fear_female,TESS,female,negative_female,fear_female,fear,negative
15,fear_female,TESS,female,negative_female,fear_female,fear,negative
16,fear_female,TESS,female,negative_female,fear_female,fear,negative
17,fear_female,TESS,female,negative_female,fear_female,fear,negative
18,fear_female,TESS,female,negative_female,fear_female,fear,negative
19,fear_female,TESS,female,negative_female,fear_female,fear,negative
20,fear_female,TESS,female,negative_female,fear_female,fear,negative
21,fear_female,TESS,female,negative_female,fear_female,fear,negative
22,fear_female,TESS,female,negative_female,fear_female,fear,negative
23,fear_female,TESS,female,negative_female,fear_female,fear,negative
24,fear_female,TESS,female,negative_female,fear_female,fear,negative
25,fear_female,TESS,female,negative_female,fear_female,fear,negative
26,fear_female,TESS,female,negative_female,fear_female,fear,negative
27,fear_female,TESS,female,negative_female,fear_female,fear,negative
28,fear_female,TESS,female,negative_female,fear_female,fear,negative
29,fear_female,TESS,female,negative_female,fear_female,fear,negative
30,fear_female,TESS,female,negative_female,fear_female,fear,negative
31,fear_female,TESS,female,negative_female,fear_female,fear,negative
32,fear_female,TESS,female,negative_female,fear_female,fear,negative
33,fear_female,TESS,female,negative_female,fear_female,fear,negative
34,fear_female,TESS,female,negative_female,fear_female,fear,negative
35,fear_female,TESS,female,negative_female,fear_female,fear,negative
36,fear_female,TESS,female,negative_female,fear_female,fear,negative
37,fear_female,TESS,female,negative_female,fear_female,fear,negative
38,fear_female,TESS,female,negative_female,fear_female,fear,negative
39,fear_female,TESS,female,negative_female,fear_female,fear,negative
40,fear_female,TESS,female,negative_female,fear_female,fear,negative
41,fear_female,TESS,female,negative_female,fear_female,fear,negative
42,fear_female,TESS,female,negative_female,fear_female,fear,negative
43,fear_female,TESS,female,negative_female,fear_female,fear,negative
44,fear_female,TESS,female,negative_female,fear_female,fear,negative
45,fear_female,TESS,female,negative_female,fear_female,fear,negative
46,fear_female,TESS,female,negative_female,fear_female,fear,negative
47,fear_female,TESS,female,negative_female,fear_female,fear,negative
48,fear_female,TESS,female,negative_female,fear_female,fear,negative
49,fear_female,TESS,female,negative_female,fear_female,fear,negative
50,fear_female,TESS,female,negative_female,fear_female,fear,negative
51,fear_female,TESS,female,negative_female,fear_female,fear,negative
52,fear_female,TESS,female,negative_female,fear_female,fear,negative
53,fear_female,TESS,female,negative_female,fear_female,fear,negative
54,fear_female,TESS,female,negative_female,fear_female,fear,negative
55,fear_female,TESS,female,negative_female,fear_female,fear,negative
56,fear_female,TESS,female,negative_female,fear_female,fear,negative
57,fear_female,TESS,female,negative_female,fear_female,fear,negative
58,fear_female,TESS,female,negative_female,fear_female,fear,negative
59,fear_female,TESS,female,negative_female,fear_female,fear,negative
60,fear_female,TESS,female,negative_female,fear_female,fear,negative
61,fear_female,TESS,female,negative_female,fear_female,fear,negative
62,fear_female,TESS,female,negative_female,fear_female,fear,negative
63,fear_female,TESS,female,negative_female,fear_female,fear,negative
64,fear_female,TESS,female,negative_female,fear_female,fear,negative
65,fear_female,TESS,female,negative_female,fear_female,fear,negative
66,fear_female,TESS,female,negative_female,fear_female,fear,negative
67,fear_female,TESS,female,negative_female,fear_female,fear,negative
68,fear_female,TESS,female,negative_female,fear_female,fear,negative
69,fear_female,TESS,female,negative_female,fear_female,fear,negative
70,fear_female,TESS,female,negative_female,fear_female,fear,negative
71,fear_female,TESS,female,negative_female,fear_female,fear,negative
72,fear_female,TESS,female,negative_female,fear_female,fear,negative
73,fear_female,TESS,female,negative_female,fear_female,fear,negative
74,fear_female,TESS,female,negative_female,fear_female,fear,negative
75,fear_female,TESS,female,negative_female,fear_female,fear,negative
76,fear_female,TESS,female,negative_female,fear_female,fear,negative
77,fear_female,TESS,female,negative_female,fear_female,fear,negative
78,fear_female,TESS,female,negative_female,fear_female,fear,negative
79,fear_female,TESS,female,negative_female,fear_female,fear,negative
80,fear_female,TESS,female,negative_female,fear_female,fear,negative
81,fear_female,TESS,female,negative_female,fear_female,fear,negative
82,fear_female,TESS,female,negative_female,fear_female,fear,negative
83,fear_female,TESS,female,negative_female,fear_female,fear,negative
84,fear_female,TESS,female,negative_female,fear_female,fear,negative
85,fear_female,TESS,female,negative_female,fear_female,fear,negative
86,fear_female,TESS,female,negative_female,fear_female,fear,negative
87,fear_female,TESS,female,negative_female,fear_female,fear,negative
88,fear_female,TESS,female,negative_female,fear_female,fear,negative
89,fear_female,TESS,female,negative_female,fear_female,fear,negative
90,fear_female,TESS,female,negative_female,fear_female,fear,negative
91,fear_female,TESS,female,negative_female,fear_female,fear,negative
92,fear_female,TESS,female,negative_female,fear_female,fear,negative
93,fear_female,TESS,female,negative_female,fear_female,fear,negative
94,fear_female,TESS,female,negative_female,fear_female,fear,negative
95,fear_female,TESS,female,negative_female,fear_female,fear,negative
96,fear_female,TESS,female,negative_female,fear_female,fear,negative
97,fear_female,TESS,female,negative_female,fear_female,fear,negative
98,fear_female,TESS,female,negative_female,fear_female,fear,negative
99,fear_female,TESS,female,negative_female,fear_female,fear,negative
100,fear_female,TESS,female,negative_female,fear_female,fear,negative
101,fear_female,TESS,female,negative_female,fear_female,fear,negative
102,fear_female,TESS,female,negative_female,fear_female,fear,negative
103,fear_female,TESS,female,negative_female,fear_female,fear,negative
104,fear_female,TESS,female,negative_female,fear_female,fear,negative
105,fear_female,TESS,female,negative_female,fear_female,fear,negative
106,fear_female,TESS,female,negative_female,fear_female,fear,negative
107,fear_female,TESS,female,negative_female,fear_female,fear,negative
108,fear_female,TESS,female,negative_female,fear_female,fear,negative
109,fear_female,TESS,female,negative_female,fear_female,fear,negative
110,fear_female,TESS,female,negative_female,fear_female,fear,negative
111,fear_female,TESS,female,negative_female,fear_female,fear,negative
112,fear_female,TESS,female,negative_female,fear_female,fear,negative
113,fear_female,TESS,female,negative_female,fear_female,fear,negative
114,fear_female,TESS,female,negative_female,fear_female,fear,negative
115,fear_female,TESS,female,negative_female,fear_female,fear,negative
116,fear_female,TESS,female,negative_female,fear_female,fear,negative
117,fear_female,TESS,female,negative_female,fear_female,fear,negative
118,fear_female,TESS,female,negative_female,fear_female,fear,negative
